image,bicubic_psnr,srcnn_psnr,gain
astronaut,20.913305282592773,19.522052764892578,-1.3912525177001953
glass_tower,22.990997314453125,21.457578659057617,-1.5334186553955078
macaw,23.588821411132812,21.72899055480957,-1.8598308563232422
mountain_lake,24.319887161254883,22.347076416015625,-1.9728107452392578
night_car,21.589794158935547,20.844221115112305,-0.7455730438232422
pizza,18.592060089111328,17.06560516357422,-1.5264549255371094
tiger,21.468040466308594,19.652795791625977,-1.8152446746826172
vintage_watch,24.334949493408203,22.641380310058594,-1.6935691833496094
